Time,Clock ,Input to Input,Enabled 1 Bit Counter 1 output,Enabled 1 Bit Counter TC 1 output,Input to Moore 1,NS of Moore 1,output of Moore 1,PS of Moore 1,Enabled 2 Bit Counter And1 output,Enabled 1 Bit Counter 2 output,Enabled 1 Bit Counter TC 2 output,Input to Moore 2,NS of Moore 2,output of Moore 2,PS of Moore 2,Enabled 2 Bit Counter 1 output,Enabled 2 Bit Counter TC1 output,Enabled 4 Bit Counter And1 output,Enabled 1 Bit Counter 3 output,Enabled 1 Bit Counter TC 3 output,Input to Moore 3,NS of Moore 3,output of Moore 3,PS of Moore 3,Enabled 2 Bit Counter And2 output,Enabled 1 Bit Counter 4 output,Enabled 1 Bit Counter TC 4 output,Input to Moore 4,NS of Moore 4,output of Moore 4,PS of Moore 4,Enabled 2 Bit Counter 2 output,Enabled 2 Bit Counter TC2 output,Enabled 4 Bit Counter 1 output,Enabled 4 Bit Counter TC1 output
18.530000000000005,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
18.540000000000006,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
18.550000000000008,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
19.0,0,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
19.5,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0
19.51,1,1,1,1,1,0,3,0,1,1,1,1,0,3,0,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0
19.520000000000003,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,1,0,4,0
19.530000000000005,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
19.540000000000006,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
19.550000000000008,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
20.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
20.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
20.51,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
20.520000000000003,1,1,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
20.530000000000005,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
20.540000000000006,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
20.550000000000008,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
21.0,0,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
21.5,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
21.51,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
21.520000000000003,1,1,0,0,1,1,0,0,0,1,1,0,0,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
